60.53;09/04/2021 18:31;U;
274.61;09/04/2021 18:36;D;
116.83;09/04/2021 18:36;U;
239.12;09/04/2021 18:41;D;
120.13;09/04/2021 18:41;U;
275.37;09/04/2021 18:46;D;
120.50;09/04/2021 18:46;U;
241.67;09/04/2021 18:51;D;
119.11;09/04/2021 18:51;U;
183.89;09/04/2021 18:56;D;
120.74;09/04/2021 18:56;U;
246.85;09/04/2021 19:01;D;
119.43;09/04/2021 19:01;U;
250.43;09/04/2021 19:06;D;
114.38;09/04/2021 19:06;U;
218.85;09/04/2021 19:11;D;
118.76;09/04/2021 19:11;U;
244.31;09/04/2021 19:16;D;
117.81;09/04/2021 19:16;U;
231.58;09/04/2021 19:21;D;
62.29;09/04/2021 19:21;U;
255.77;09/04/2021 19:26;D;
96.84;09/04/2021 19:26;U;
253.75;09/04/2021 19:31;D;
113.38;09/04/2021 19:31;U;
258.71;09/04/2021 19:36;D;
109.90;09/04/2021 19:36;U;
238.34;09/04/2021 19:41;D;
110.39;09/04/2021 19:41;U;
243.80;09/04/2021 19:46;D;
102.23;09/04/2021 19:46;U;
230.02;09/04/2021 19:51;D;
106.87;09/04/2021 19:51;U;
241.79;09/04/2021 19:56;D;
11.60;09/04/2021 19:56;U;
282.41;09/04/2021 20:01;D;
107.43;09/04/2021 20:01;U;
252.75;09/04/2021 20:06;D;
93.66;09/04/2021 20:06;U;
227.28;09/04/2021 20:11;D;
105.74;09/04/2021 20:11;U;
233.70;09/04/2021 20:16;D;
105.23;09/04/2021 20:16;U;
272.78;09/04/2021 20:21;D;
106.15;09/04/2021 20:21;U;
218.65;09/04/2021 20:26;D;
115.33;09/04/2021 20:26;U;
274.41;09/04/2021 20:31;D;
111.48;09/04/2021 20:31;U;
246.36;09/04/2021 20:36;D;
111.18;09/04/2021 20:36;U;
268.34;09/04/2021 20:41;D;
104.33;09/04/2021 20:41;U;
207.50;09/04/2021 20:46;D;
113.13;09/04/2021 20:46;U;
271.94;09/04/2021 20:51;D;
109.57;09/04/2021 20:51;U;
258.31;09/04/2021 20:56;D;
113.82;09/04/2021 20:56;U;
226.28;09/04/2021 21:01;D;
113.48;09/04/2021 21:01;U;
187.66;09/04/2021 21:06;D;
107.09;09/04/2021 21:06;U;
250.78;09/04/2021 21:11;D;
113.36;09/04/2021 21:11;U;
221.66;09/04/2021 21:16;D;
98.27;09/04/2021 21:16;U;
230.32;09/04/2021 21:21;D;
61.70;09/04/2021 21:21;U;
247.53;09/04/2021 21:26;D;
5.00;09/04/2021 21:26;U;
225.78;09/04/2021 21:31;D;
99.62;09/04/2021 21:31;U;
241.31;09/04/2021 21:36;D;
100.95;09/04/2021 21:36;U;
236.50;09/04/2021 21:41;D;
101.47;09/04/2021 21:41;U;
247.99;09/04/2021 21:46;D;
106.39;09/04/2021 21:46;U;
0.00;09/04/2021 21:51;D;
22.12;09/04/2021 21:51;U;
225.51;09/04/2021 21:56;D;
110.36;09/04/2021 21:56;U;
254.75;09/04/2021 22:01;D;
113.55;09/04/2021 22:01;U;
259.99;09/04/2021 22:09;D;
110.68;09/04/2021 22:09;U;
242.57;09/04/2021 22:11;D;
106.77;09/04/2021 22:11;U;
289.63;09/04/2021 22:16;D;
103.59;09/04/2021 22:16;U;
250.67;09/04/2021 22:21;D;
97.29;09/04/2021 22:21;U;
230.56;09/04/2021 22:26;D;
109.95;09/04/2021 22:26;U;
236.67;09/04/2021 22:31;D;
96.64;09/04/2021 22:31;U;
245.05;09/04/2021 22:36;D;
111.20;09/04/2021 22:36;U;
224.49;09/04/2021 22:41;D;
112.46;09/04/2021 22:41;U;
235.64;09/04/2021 22:46;D;
109.34;09/04/2021 22:46;U;
248.34;09/04/2021 22:51;D;
99.50;09/04/2021 22:51;U;
259.07;09/04/2021 22:56;D;
112.99;09/04/2021 22:56;U;
264.38;09/04/2021 23:01;D;
108.51;09/04/2021 23:01;U;
198.24;09/04/2021 23:06;D;
113.07;09/04/2021 23:06;U;
230.75;09/04/2021 23:11;D;
108.56;09/04/2021 23:11;U;
237.39;09/04/2021 23:16;D;
111.70;09/04/2021 23:16;U;
241.07;09/04/2021 23:21;D;
106.84;09/04/2021 23:21;U;
250.13;09/04/2021 23:26;D;
109.50;09/04/2021 23:26;U;
260.45;09/04/2021 23:31;D;
100.17;09/04/2021 23:31;U;
264.04;09/04/2021 23:36;D;
108.82;09/04/2021 23:36;U;
224.60;09/04/2021 23:41;D;
98.45;09/04/2021 23:41;U;
244.56;09/04/2021 23:46;D;
106.93;09/04/2021 23:46;U;
267.66;09/04/2021 23:51;D;
99.26;09/04/2021 23:51;U;
